year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2048,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2049,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2050,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2010,MKD,2297445.946,43295.7553917026,22151.0985044407,3800.45430004696,73495.6365283422,634169.427320407,5067783.68872548,75982.2920910828,36910.1845231113,1199.19427894908,36728.6754976995
2011,MKD,2372594.298,27952.9657797284,27125.248708592,3767.84182861586,30157.645895471,645068.153012722,4052303.07534055,72402.7489281068,40598.3928317831,1120.23465564489,34475.9672790518
2012,MKD,2138379.618,28870.4334467695,25009.7386978878,3473.74540206507,52889.5805577346,553288.723108562,4093022.79646589,68059.2710474918,41129.5643902619,1100.15346061999,34973.3975868064
2013,MKD,1766366.728,43682.9687180773,32735.8098825505,3922.87300861199,33895.5646331352,592594.741379117,4360324.36287184,74961.2824981283,50123.6854828807,1377.04474772023,39417.995447408
2014,MKD,1504844.156,25395.2813449316,50860.3670640052,3589.79735093525,1138.34506804131,510121.283888764,4221336.89847034,68632.7745609341,45650.553553435,1398.19583062476,38425.0451703938
2015,MKD,1575516.686,22664.289324928,54234.8710984842,3805.58052149188,1836.07354055363,458188.22506783,5312046.15760086,65623.72939117,44076.3986460374,1364.1643980711,33741.3827022893
2016,MKD,1695407.283,22988.2555640708,62183.7060180786,5145.77987953527,786.510748720333,454813.339849978,4080413.16292249,68952.7552820818,46257.5228152774,1394.02795696284,34064.1721355671
2017,MKD,795980.6579,21129.0704012441,72065.6926100269,5290.40530801915,0.792877031615324,426706.094845971,3879365.01185731,63217.930285816,43808.2325139459,1517.25588244511,32895.4580399833
2018,MKD,1473262.361,23694.1273124402,94162.5142322114,6094.21922902608,2486.78304504143,488109.852507218,4395700.36532702,67062.7697882108,49628.4538626594,1646.83570025334,32095.9740370982
2019,MKD,1473851.637,35410.1052759264,99968.630162275,5579.86014602656,3775.60576408137,475669.487703965,3850825.41777774,63737.5011352895,49898.2074183657,1592.9410498036,29407.4713122387
2020,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2021,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2022,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2023,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2024,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2025,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2026,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2027,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2028,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2029,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2030,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2031,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2032,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2033,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2034,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2035,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2036,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2037,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2038,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2039,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2040,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2041,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2042,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2043,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2044,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2045,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2046,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2047,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2048,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2049,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2050,MKD,1526005.389,63725.6606137837,103820.320496308,12973.8607725868,6703.33228990419,486795.306248835,3482254.64383766,63659.8968868932,50473.068157731,1884.99593121064,28297.663510535
2010,MLI,14035460.16,43104.5005487855,17648.3708410298,1399.36712289426,10870.2004677473,133252.134961415,12771.7788186606,21356.1751098637,16471.215849247,1080.25402818332,15622.0745570528
2011,MLI,17631635.01,69784.1706337318,22217.3862429145,1383.04772689887,6431.11641548461,128008.248635518,231286.644491474,23561.7593662347,21209.8124778411,1243.30754573346,20273.3703038781
2012,MLI,14987037.16,84033.719910963,24447.274650983,1125.56527583041,76470.1921506881,107256.773604977,323021.467736276,19011.2948174759,21492.2329002356,1411.90642285703,26721.1917072189
2013,MLI,8702494.258,53707.3740626753,20712.7560111096,676.447602456299,15877.8911871365,90686.6602081936,500614.936495176,20241.4080471617,22798.2524938603,1395.97590196991,23185.5385821706
2014,MLI,9604580.7,38792.0376580943,21185.4144574636,665.109288330114,0.0,72611.7546805445,381101.67614565,19824.9234567716,22292.6233008847,1309.3505511193,27455.0074517117
2015,MLI,10129120.39,36275.170988694,23993.6636862996,481.539718606656,2864.49559518261,78539.7648743263,32873.2532517668,19532.5024917426,25612.7523476319,1275.87298451768,20260.3353963221
2016,MLI,11742842.0,90478.0556639716,20309.1764415053,909.115989597189,0.0,115355.673544955,159990.069346627,21276.2817611347,24087.1420502719,1056.36077142062,21491.6757538557
2017,MLI,13384683.01,84979.55684332,22339.1382680874,1020.55228947708,0.0,135230.378490203,7150.98758773835,27085.4067913874,26942.8036592961,1335.83590011675,22175.6484649904
2018,MLI,12370726.75,70299.853984615,21930.7643953348,990.352290229004,0.0,129976.017350864,38763.3872345171,37758.7497634509,29879.83077566,1373.55333083813,32584.3841868647
2019,MLI,11019501.17,81055.9594192075,23221.4262076729,992.850155088164,893.400215259248,143687.78379236,1516.10143174295,37231.3879856116,29392.5464064938,1302.14505285307,29183.2875441193
2020,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2021,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2022,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2023,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2024,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2025,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2026,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2027,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2028,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2029,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2030,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2031,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2032,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2033,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
2034,MLI,8566526.289,42405.1876902918,27710.0267695496,639.917810307884,4185.42255052107,123386.954131275,160390.370534544,23311.813709919,25278.0554252933,1436.13244927195,12391.9828233879
