r,f,l,val
armenia,fuel_electricity,dec_feb_wd18,0.0476315021655483
armenia,fuel_electricity,dec_feb_wd6,0.0454733641062718
armenia,fuel_electricity,dec_feb_we0,0.0174608892854387
armenia,fuel_electricity,dec_feb_we12,0.0190468181991762
armenia,fuel_electricity,dec_feb_we18,0.0181635874325928
armenia,fuel_electricity,dec_feb_we6,0.0173406125619907
armenia,fuel_electricity,jun_aug_wd0,0.0458983230309471
armenia,fuel_electricity,jun_aug_wd12,0.0500671529454434
armenia,fuel_electricity,jun_aug_wd18,0.0477454607124294
armenia,fuel_electricity,jun_aug_wd6,0.0455821592997834
armenia,fuel_electricity,jun_aug_we0,0.0175026645282875
armenia,fuel_electricity,jun_aug_we12,0.0190923877828762
armenia,fuel_electricity,jun_aug_we18,0.0182070438833839
armenia,fuel_electricity,jun_aug_we6,0.0173821000423293
armenia,fuel_electricity,mar_may_wd0,0.0415038840147342
armenia,fuel_electricity,mar_may_wd12,0.0452735780214575
armenia,fuel_electricity,mar_may_wd18,0.0431741713592152
armenia,fuel_electricity,mar_may_wd6,0.0412179907192639
armenia,fuel_electricity,mar_may_we0,0.0158269084916469
armenia,fuel_electricity,mar_may_we12,0.0172644270155696
armenia,fuel_electricity,mar_may_we18,0.016463848517464
armenia,fuel_electricity,mar_may_we6,0.0157178872004304
armenia,fuel_electricity,sep_nov_wd0,0.0423436623042737
armenia,fuel_electricity,sep_nov_wd12,0.0461896312732133
armenia,fuel_electricity,sep_nov_wd18,0.0440477457881398
armenia,fuel_electricity,sep_nov_wd6,0.0420519843216985
armenia,fuel_electricity,sep_nov_we0,0.0161471458491216
armenia,fuel_electricity,sep_nov_we12,0.0176137507314866
armenia,fuel_electricity,sep_nov_we18,0.0167969735460114
armenia,fuel_electricity,sep_nov_we6,0.0160359186507801
aruba,fuel_electricity,dec_feb_wd0,0.0457887732199526
aruba,fuel_electricity,dec_feb_wd12,0.0499476529990401
aruba,fuel_electricity,dec_feb_wd18,0.0476315021655483
aruba,fuel_electricity,dec_feb_wd6,0.0454733641062718
aruba,fuel_electricity,dec_feb_we0,0.0174608892854387
aruba,fuel_electricity,dec_feb_we12,0.0190468181991762
aruba,fuel_electricity,dec_feb_we18,0.0181635874325928
aruba,fuel_electricity,dec_feb_we6,0.0173406125619907
aruba,fuel_electricity,jun_aug_wd0,0.0458983230309471
aruba,fuel_electricity,jun_aug_wd12,0.0500671529454434
aruba,fuel_electricity,jun_aug_wd18,0.0477454607124294
aruba,fuel_electricity,jun_aug_wd6,0.0455821592997834
aruba,fuel_electricity,jun_aug_we0,0.0175026645282875
aruba,fuel_electricity,jun_aug_we12,0.0190923877828762
aruba,fuel_electricity,jun_aug_we18,0.0182070438833839
aruba,fuel_electricity,jun_aug_we6,0.0173821000423293
aruba,fuel_electricity,mar_may_wd0,0.0415038840147342
aruba,fuel_electricity,mar_may_wd12,0.0452735780214575
aruba,fuel_electricity,mar_may_wd18,0.0431741713592152
aruba,fuel_electricity,mar_may_wd6,0.0412179907192639
aruba,fuel_electricity,mar_may_we0,0.0158269084916469
aruba,fuel_electricity,mar_may_we12,0.0172644270155696
aruba,fuel_electricity,mar_may_we18,0.016463848517464
aruba,fuel_electricity,mar_may_we6,0.0157178872004304
aruba,fuel_electricity,sep_nov_wd0,0.0423436623042737
aruba,fuel_electricity,sep_nov_wd12,0.0461896312732133
aruba,fuel_electricity,sep_nov_wd18,0.0440477457881398
aruba,fuel_electricity,sep_nov_wd6,0.0420519843216985
aruba,fuel_electricity,sep_nov_we0,0.0161471458491216
aruba,fuel_electricity,sep_nov_we12,0.0176137507314866
aruba,fuel_electricity,sep_nov_we18,0.0167969735460114
aruba,fuel_electricity,sep_nov_we6,0.0160359186507801
australia,fuel_electricity,dec_feb_wd0,0.0448300114331374
australia,fuel_electricity,dec_feb_wd12,0.0489018092764632
australia,fuel_electricity,dec_feb_wd18,0.0466341558530458
australia,fuel_electricity,dec_feb_wd6,0.0445212066065809
australia,fuel_electricity,dec_feb_we0,0.0170952792847018
australia,fuel_electricity,dec_feb_we12,0.0186480007562615
australia,fuel_electricity,dec_feb_we18,0.0177832637786221
australia,fuel_electricity,dec_feb_we6,0.0169775210110435
australia,fuel_electricity,jun_aug_wd0,0.0457330328866029
australia,fuel_electricity,jun_aug_wd12,0.0498868499105881
australia,fuel_electricity,jun_aug_wd18,0.0475735186114596
australia,fuel_electricity,jun_aug_wd6,0.0454180077318689
australia,fuel_electricity,jun_aug_we0,0.0174396335120054
australia,fuel_electricity,jun_aug_we12,0.019023631816991
australia,fuel_electricity,jun_aug_we18,0.0181414762392342
australia,fuel_electricity,jun_aug_we6,0.0173195032057725
australia,fuel_electricity,mar_may_wd0,0.0431128013236707
australia,fuel_electricity,mar_may_wd12,0.0470286292665494
australia,fuel_electricity,mar_may_wd18,0.0448478381315628
australia,fuel_electricity,mar_may_wd6,0.0428158252420344
australia,fuel_electricity,mar_may_we0,0.0164404459381693
australia,fuel_electricity,mar_may_we12,0.0179336905342407
australia,fuel_electricity,mar_may_we18,0.0171020772394326
australia,fuel_electricity,mar_may_we6,0.0163271983860463
australia,fuel_electricity,sep_nov_wd0,0.0418587969264966
australia,fuel_electricity,sep_nov_wd12,0.0456607267855537
australia,fuel_electricity,sep_nov_wd18,0.0435433674292646
australia,fuel_electricity,sep_nov_wd6,0.0415704588665335
australia,fuel_electricity,sep_nov_we0,0.0159622494196182
australia,fuel_electricity,sep_nov_we12,0.0174120606216155
australia,fuel_electricity,sep_nov_we18,0.0166046361221632
australia,fuel_electricity,sep_nov_we6,0.0158522958526683
austria,fuel_electricity,dec_feb_wd0,0.0443064860840516
austria,fuel_electricity,dec_feb_wd12,0.0483307334289682
austria,fuel_electricity,dec_feb_wd18,0.0460895616862854
austria,fuel_electricity,dec_feb_wd6,0.0440012874835355
austria,fuel_electricity,dec_feb_we0,0.0168956404318634
austria,fuel_electricity,dec_feb_we12,0.0184302292056065
austria,fuel_electricity,dec_feb_we18,0.0175755906355654
austria,fuel_electricity,dec_feb_we6,0.0167792573405741
austria,fuel_electricity,jun_aug_wd0,0.0444565376177648
austria,fuel_electricity,jun_aug_wd12,0.0484944137682924
austria,fuel_electricity,jun_aug_wd18,0.046245651912129
austria,fuel_electricity,jun_aug_wd6,0.0441503054097085
austria,fuel_electricity,jun_aug_we0,0.0169528604234253
austria,fuel_electricity,jun_aug_we12,0.0184926463459263
austria,fuel_electricity,jun_aug_we18,0.0176351133954109
austria,fuel_electricity,jun_aug_we6,0.016836083180785
austria,fuel_electricity,mar_may_wd0,0.0449886438682871
