r,l,pp_hydropower,pp_solar,pp_biogas,pp_biomass,pp_coal,pp_gas,pp_geothermal,pp_nuclear,pp_ocean,pp_oil,pp_waste_incineration,pp_wind
australia,dec_feb_wd12,0.15196756,0.480753242,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,dec_feb_wd18,0.15196756,0.200313851,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,dec_feb_wd6,0.15196756,0.137358069,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,dec_feb_we0,0.15196756,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,dec_feb_we12,0.15196756,0.480753242,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,dec_feb_we18,0.15196756,0.200313851,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,dec_feb_we6,0.15196756,0.137358069,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,jun_aug_wd0,0.215107057,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,jun_aug_wd12,0.215107057,0.613313184,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,jun_aug_wd18,0.215107057,0.020571876,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,jun_aug_wd6,0.215107057,0.07414918,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,jun_aug_we0,0.215107057,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,jun_aug_we12,0.215107057,0.613313184,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,jun_aug_we18,0.215107057,0.020571876,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,jun_aug_we6,0.215107057,0.07414918,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,mar_may_wd0,0.147628627,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,mar_may_wd12,0.147628627,0.598525311,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,mar_may_wd18,0.147628627,0.01919838,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,mar_may_wd6,0.147628627,0.149367614,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,mar_may_we0,0.147628627,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,mar_may_we12,0.147628627,0.598525311,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,mar_may_we18,0.147628627,0.01919838,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,mar_may_we6,0.147628627,0.149367614,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,sep_nov_wd0,0.208780639,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,sep_nov_wd12,0.208780639,0.550754204,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,sep_nov_wd18,0.208780639,0.137688551,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,sep_nov_wd6,0.208780639,0.157358344,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,sep_nov_we0,0.208780639,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,sep_nov_we12,0.208780639,0.550754204,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,sep_nov_we18,0.208780639,0.137688551,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,sep_nov_we6,0.208780639,0.157358344,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,dec_feb_wd0,0.234228796,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,dec_feb_wd12,0.234228796,0.272454283,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,dec_feb_wd18,0.234228796,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,dec_feb_wd6,0.234228796,0.053597564,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,dec_feb_we0,0.234228796,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,dec_feb_we12,0.234228796,0.272454283,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,dec_feb_we18,0.234228796,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,dec_feb_we6,0.234228796,0.053597564,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,jun_aug_wd0,0.35316167,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,jun_aug_wd12,0.35316167,0.387218153,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,jun_aug_wd18,0.35316167,0.138036101,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,jun_aug_wd6,0.35316167,0.198474913,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,jun_aug_we0,0.35316167,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,jun_aug_we12,0.35316167,0.387218153,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,jun_aug_we18,0.35316167,0.138036101,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,jun_aug_we6,0.35316167,0.198474913,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,mar_may_wd0,0.370520416,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
austria,mar_may_wd12,0.370520416,0.434800034,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
