year,iso_code3,elasticity_ippu_cement_production_to_gdp,elasticity_ippu_chemicals_production_to_gdp,elasticity_ippu_electronics_production_to_gdp,elasticity_ippu_glass_production_to_gdp,elasticity_ippu_lime_and_carbonite_production_to_gdp,elasticity_ippu_metals_production_to_gdp,elasticity_ippu_mining_production_to_gdp,elasticity_ippu_paper_production_to_gdp,elasticity_ippu_plastic_production_to_gdp,elasticity_ippu_rubber_and_leather_production_to_gdp,elasticity_ippu_textiles_production_to_gdp
2013,BLR,5.858778083742273,5.971132341886276,-1.2365209061686333,1.1835970621608776,-1.30378355815484,-1.268204821489141,1.3543190173327062,6.698552685211828,2.8022055220882565,-2.9708083628100677,0.45518799072719224
2014,BLR,-12.535099144817417,0.8710718573728821,-8.523040635403378,-7.304377956165774,-10.875087231427727,-7.417590812333934,-4.831047974054866,-7.934819128218202,-6.3336589709294975,-7.944940608898607,-8.36423634035013
2015,BLR,-9.844273421889065,-46.857222284967946,17.407889359270587,21.82241580567714,22.73461483379587,-8.825463768003026,120.7012765524637,-10.575266448448838,-1.843738616155199,13.24389582321083,18.170800759678222
2016,BLR,9.32241941418058,19.58872675487134,17.143759678225045,27.22253783033067,-25.54276982400731,38.820431037461475,292.17825538322904,19.538854417973468,19.49574736233434,13.148919187569334,23.028480798296147
2017,BLR,-17.952291321416666,4.537353677786796,23.743542429201376,-2.9301778991350798,33.26590236612238,16.295402584810503,-30.782078416565312,13.26381934882294,1.4714761990983782,-7.9804239895284255,13.180030267016772
2018,BLR,19.94467077563089,36.03369652478344,22.624810775851056,9.12862767417056,-46.961729300761974,23.631493549473564,-66.87366470940927,24.771933704783528,23.291141760814003,19.875566372835042,30.985961606726928
2019,BLR,24.50139939811235,-3.949456561900446,-5.50645688635158,4.3026942982056715,47.331187593248224,-10.825706641587368,-11.119184723622348,-3.079035479231406,-2.4465521561274013,-15.540544734737402,-12.176140967046154
2020,BLR,2.0,2.0,2.0,1.1835970621608776,-0.5,2.0,-0.5,2.0,2.0,2.0,2.0
2021,BLR,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.1774771600888483,-0.45,1.9666666666666666,-0.45,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666
2022,BLR,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.171357258016819,-0.4,1.9333333333333333,-0.4,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333
2023,BLR,1.9,1.9,1.9,1.1652373559447897,-0.35,1.9,-0.35,1.9,1.9,1.9,1.9
2024,BLR,1.8666666666666667,1.8666666666666667,1.8666666666666667,1.1591174538727607,-0.3,1.8666666666666667,-0.3,1.8666666666666667,1.8666666666666667,1.8666666666666667,1.8666666666666667
2025,BLR,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.1529975518007314,-0.25,1.8333333333333333,-0.25,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333
2026,BLR,1.8,1.8,1.8,1.146877649728702,-0.19999999999999996,1.8,-0.19999999999999996,1.8,1.8,1.8,1.8
