Category Name,``$REGION$``,ISO Alpha 3,FAO Area Code,Latitude Population Centroid 2020,Longitude Population Centroid 2020,World Bank Global Region,UN Sub-Region,UN Region
Northern Mariana Islands,northern_mariana_islands,MNP,163,15.109631992550094,145.6979097692858,East Asia & Pacific,Micronesia,Oceania
Norway,norway,NOR,162,61.002869493067216,9.848364649216348,Europe & Central Asia,Northern Europe,Europe
Oman,oman,OMN,221,22.720358799663472,57.364708405198,Middle East & North Africa,Western Asia,Asia
Pakistan,pakistan,PAK,165,30.508200080153536,71.45014176807311,South Asia,Southern Asia,Asia
Palau,palau,PLW,180,7.31201069726804,134.4383246063444,East Asia & Pacific,Micronesia,Oceania
Panama,panama,PAN,166,8.804347945637538,-80.30608009755137,Latin America & Caribbean,Latin America and the Caribbean,Americas
Papua New Guinea,papua_new_guinea,PNG,168,-6.160782231451598,145.907106918164,East Asia & Pacific,Melanesia,Oceania
Paraguay,paraguay,PRY,169,-25.274740052414806,-56.67879448557981,Latin America & Caribbean,Latin America and the Caribbean,Americas
Peru,peru,PER,170,-10.755767308958694,-76.2237569738603,Latin America & Caribbean,Latin America and the Caribbean,Americas
Philippines,philippines,PHL,171,12.25545262012769,122.48372268475202,East Asia & Pacific,South-eastern Asia,Asia
Poland,poland,POL,173,51.72564191290925,19.292514103454465,Europe & Central Asia,Eastern Europe,Europe
Portugal,portugal,PRT,174,39.65570474194797,-9.224379573720718,Europe & Central Asia,Southern Europe,Europe
Puerto Rico,puerto_rico,PRI,177,18.28019560327103,-66.3438371783431,Latin America & Caribbean,Latin America and the Caribbean,Americas
Qatar,qatar,QAT,179,25.320845534664528,51.44700722494046,Middle East & North Africa,Western Asia,Asia
Republic of Korea,republic_of_korea,KOR,117,36.67030392839402,127.473957148386,East Asia & Pacific,Eastern Asia,Asia
Republic of Moldova,republic_of_moldova,MDA,146,47.162419089306105,28.596914061013923,Europe & Central Asia,Eastern Europe,Europe
Republic of the Congo,republic_of_the_congo,COG,46,-1.9045212833637648,15.190944999399518,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Romania,romania,ROU,183,45.05586842065271,26.0066089539147,Europe & Central Asia,Eastern Europe,Europe
