iso_code3,year,time_period,frac_enfu_transmission_loss_fuel_electricity
BDI,2014,-1,0.17655571635311101
BDI,2015,0,0.19637049463350442
BDI,2016,1,0.19637049463350442
BDI,2017,2,0.19637049463350442
BDI,2018,3,0.19637049463350442
BDI,2019,4,0.19637049463350442
BDI,2020,5,0.19637049463350442
BDI,2021,6,0.19637049463350442
BDI,2022,7,0.19637049463350442
BDI,2023,8,0.19637049463350442
BDI,2024,9,0.19637049463350442
BDI,2025,10,0.19637049463350442
BDI,2026,11,0.19637049463350442
BDI,2027,12,0.19637049463350442
BDI,2028,13,0.19637049463350442
BDI,2029,14,0.19637049463350442
BDI,2030,15,0.19637049463350442
BDI,2031,16,0.19637049463350442
BDI,2032,17,0.19637049463350442
BDI,2033,18,0.19637049463350442
BDI,2034,19,0.19637049463350442
BDI,2035,20,0.19637049463350442
BDI,2036,21,0.19637049463350442
BDI,2037,22,0.19637049463350442
BDI,2038,23,0.19637049463350442
BDI,2039,24,0.19637049463350442
BDI,2040,25,0.19637049463350442
BDI,2041,26,0.19637049463350442
BDI,2042,27,0.19637049463350442
BDI,2043,28,0.19637049463350442
BDI,2044,29,0.19637049463350442
BDI,2045,30,0.19637049463350442
BDI,2046,31,0.19637049463350442
BDI,2047,32,0.19637049463350442
BDI,2048,33,0.19637049463350442
BDI,2049,34,0.19637049463350442
BDI,2050,35,0.19637049463350442
BEL,2010,-5,0.0456449223620688
BEL,2011,-4,0.0466668164558384
BEL,2012,-3,0.0506119748594112
BEL,2013,-2,0.0487561462440972
BEL,2014,-1,0.0542502307627759
BEL,2015,0,0.0491860181368383
BEL,2016,1,0.0491860181368383
BEL,2017,2,0.0491860181368383
BEL,2018,3,0.0491860181368383
BEL,2019,4,0.0491860181368383
BEL,2020,5,0.0491860181368383
BEL,2021,6,0.0491860181368383
BEL,2022,7,0.0491860181368383
BEL,2023,8,0.0491860181368383
BEL,2024,9,0.0491860181368383
BEL,2025,10,0.0491860181368383
BEL,2026,11,0.0491860181368383
BEL,2027,12,0.0491860181368383
BEL,2028,13,0.0491860181368383
BEL,2029,14,0.0491860181368383
BEL,2030,15,0.0491860181368383
BEL,2031,16,0.0491860181368383
BEL,2032,17,0.0491860181368383
BEL,2033,18,0.0491860181368383
BEL,2034,19,0.0491860181368383
BEL,2035,20,0.0491860181368383
BEL,2036,21,0.0491860181368383
BEL,2037,22,0.0491860181368383
BEL,2038,23,0.0491860181368383
BEL,2039,24,0.0491860181368383
BEL,2040,25,0.0491860181368383
BEL,2041,26,0.0491860181368383
BEL,2042,27,0.0491860181368383
BEL,2043,28,0.0491860181368383
BEL,2044,29,0.0491860181368383
BEL,2045,30,0.0491860181368383
BEL,2046,31,0.0491860181368383
BEL,2047,32,0.0491860181368383
BEL,2048,33,0.0491860181368383
BEL,2049,34,0.0491860181368383
BEL,2050,35,0.0491860181368383
BEN,2010,-5,0.6872418823292183
BEN,2011,-4,0.6872418823292183
BEN,2012,-3,0.6872418823292183
BEN,2013,-2,0.6872418823292183
BEN,2014,-1,0.6872418823292183
BEN,2015,0,0.6872418823292183
BEN,2016,1,0.6872418823292183
BEN,2017,2,0.6872418823292183
BEN,2018,3,0.6872418823292183
BEN,2019,4,0.6872418823292183
BEN,2020,5,0.6872418823292183
BEN,2021,6,0.6872418823292183
BEN,2022,7,0.6872418823292183
BEN,2023,8,0.6872418823292183
BEN,2024,9,0.6872418823292183
BEN,2025,10,0.6872418823292183
BEN,2026,11,0.6872418823292183
BEN,2027,12,0.6872418823292183
BEN,2028,13,0.6872418823292183
BEN,2029,14,0.6872418823292183
BEN,2030,15,0.6872418823292183
BEN,2031,16,0.6872418823292183
BEN,2032,17,0.6872418823292183
BEN,2033,18,0.6872418823292183
BEN,2034,19,0.6872418823292183
BEN,2035,20,0.6872418823292183
BEN,2036,21,0.6872418823292183
BEN,2037,22,0.6872418823292183
BEN,2038,23,0.6872418823292183
BEN,2039,24,0.6872418823292183
BEN,2040,25,0.6872418823292183
BEN,2041,26,0.6872418823292183
BEN,2042,27,0.6872418823292183
BEN,2043,28,0.6872418823292183
BEN,2044,29,0.6872418823292183
BEN,2045,30,0.6872418823292183
BEN,2046,31,0.6872418823292183
BEN,2047,32,0.6872418823292183
BEN,2048,33,0.6872418823292183
BEN,2049,34,0.6872418823292183
BEN,2050,35,0.6872418823292183
BFA,2010,-5,0.49162011173184406
BFA,2011,-4,0.71875
BFA,2012,-3,0.8288288288288289
BFA,2013,-2,0.6828034904714813
BFA,2014,-1,0.710344827586207
BFA,2015,0,0.6828034904714813
BFA,2016,1,0.6828034904714813
BFA,2017,2,0.6828034904714813
BFA,2018,3,0.6828034904714813
BFA,2019,4,0.6828034904714813
BFA,2020,5,0.6828034904714813
BFA,2021,6,0.6828034904714813
BFA,2022,7,0.6828034904714813
BFA,2023,8,0.6828034904714813
BFA,2024,9,0.6828034904714813
BFA,2025,10,0.6828034904714813
BFA,2026,11,0.6828034904714813
BFA,2027,12,0.6828034904714813
BFA,2028,13,0.6828034904714813
BFA,2029,14,0.6828034904714813
BFA,2030,15,0.6828034904714813
BFA,2031,16,0.6828034904714813
BFA,2032,17,0.6828034904714813
BFA,2033,18,0.6828034904714813
BFA,2034,19,0.6828034904714813
BFA,2035,20,0.6828034904714813
BFA,2036,21,0.6828034904714813
BFA,2037,22,0.6828034904714813
BFA,2038,23,0.6828034904714813
BFA,2039,24,0.6828034904714813
BFA,2040,25,0.6828034904714813
BFA,2041,26,0.6828034904714813
BFA,2042,27,0.6828034904714813
BFA,2043,28,0.6828034904714813
BFA,2044,29,0.6828034904714813
BFA,2045,30,0.6828034904714813
BFA,2046,31,0.6828034904714813
BFA,2047,32,0.6828034904714813
BFA,2048,33,0.6828034904714813
BFA,2049,34,0.6828034904714813
BFA,2050,35,0.6828034904714813
BGD,2010,-5,0.105417994606521
BGD,2011,-4,0.101918329445338
BGD,2012,-3,0.118549483134962
BGD,2013,-2,0.131607680722892
BGD,2014,-1,0.114011997493061
BGD,2015,0,0.11430109708055479
BGD,2016,1,0.11430109708055479
BGD,2017,2,0.11430109708055479
BGD,2018,3,0.11430109708055479
BGD,2019,4,0.11430109708055479
BGD,2020,5,0.11430109708055479
BGD,2021,6,0.11430109708055479
BGD,2022,7,0.11430109708055479
BGD,2023,8,0.11430109708055479
BGD,2024,9,0.11430109708055479
BGD,2025,10,0.11430109708055479
BGD,2026,11,0.11430109708055479
BGD,2027,12,0.11430109708055479
BGD,2028,13,0.11430109708055479
BGD,2029,14,0.11430109708055479
BGD,2030,15,0.11430109708055479
BGD,2031,16,0.11430109708055479
BGD,2032,17,0.11430109708055479
BGD,2033,18,0.11430109708055479
BGD,2034,19,0.11430109708055479
BGD,2035,20,0.11430109708055479
BGD,2036,21,0.11430109708055479
BGD,2037,22,0.11430109708055479
BGD,2038,23,0.11430109708055479
BGD,2039,24,0.11430109708055479
BGD,2040,25,0.11430109708055479
BGD,2041,26,0.11430109708055479
BGD,2042,27,0.11430109708055479
BGD,2043,28,0.11430109708055479
BGD,2044,29,0.11430109708055479
BGD,2045,30,0.11430109708055479
BGD,2046,31,0.11430109708055479
BGD,2047,32,0.11430109708055479
BGD,2048,33,0.11430109708055479
BGD,2049,34,0.11430109708055479
BGD,2050,35,0.11430109708055479
BGR,2010,-5,0.0973553252059022
BGR,2011,-4,0.08787957539531821
BGR,2012,-3,0.0908349256102536
BGR,2013,-2,0.0904362766723165
BGR,2014,-1,0.0855158011379377
BGR,2015,0,0.09040438080434565
BGR,2016,1,0.09040438080434565
BGR,2017,2,0.09040438080434565
BGR,2018,3,0.09040438080434565
BGR,2019,4,0.09040438080434565
BGR,2020,5,0.09040438080434565
BGR,2021,6,0.09040438080434565
BGR,2022,7,0.09040438080434565
BGR,2023,8,0.09040438080434565
BGR,2024,9,0.09040438080434565
BGR,2025,10,0.09040438080434565
BGR,2026,11,0.09040438080434565
BGR,2027,12,0.09040438080434565
BGR,2028,13,0.09040438080434565
BGR,2029,14,0.09040438080434565
BGR,2030,15,0.09040438080434565
BGR,2031,16,0.09040438080434565
BGR,2032,17,0.09040438080434565
BGR,2033,18,0.09040438080434565
BGR,2034,19,0.09040438080434565
BGR,2035,20,0.09040438080434565
BGR,2036,21,0.09040438080434565
BGR,2037,22,0.09040438080434565
BGR,2038,23,0.09040438080434565
BGR,2039,24,0.09040438080434565
