year,time_period,iso_code3,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_ocean,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_wind
2028,13,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2029,14,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2030,15,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2031,16,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2032,17,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2033,18,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2034,19,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2035,20,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2036,21,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2037,22,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
