qty_soil_organic_c_stock_dry_climate_tonne_per_ha,qty_soil_organic_c_stock_temperate_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_poor_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_rich_tonne_per_ha,qty_soil_organic_c_stock_tropical_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_tropical_forest_tonne_per_ha,qty_soil_organic_c_stock_wet_climate_tonne_per_ha,iso_alpha_3,year,time_period
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2034,19
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2035,20
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2036,21
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2037,22
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2038,23
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2039,24
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2040,25
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2041,26
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2042,27
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2043,28
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2044,29
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2045,30
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2046,31
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2047,32
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2048,33
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2049,34
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2050,35
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2010,-5
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2011,-4
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2012,-3
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2013,-2
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2014,-1
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2015,0
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2016,1
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2017,2
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2018,3
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2019,4
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2020,5
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2021,6
53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,53.64213039617978,AZE,2022,7
